,Ticker,CompanyName,Sector,SubIndustry,HQLocation,DateFirstAdded,CIK,FoundedYear,QuoteURL,WikiPage,EDGARURL,HQLocationWikiPage,SectorId,Sector,IndustryGroupId,IndustryGroup,IndustryId,Industry,SubIndustryId,SubIndustry,SubIndustryDescription
0,MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,0000066740,1902,https://www.nyse.com/quote/XNYS:MMM,/wiki/3M,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MMM&action=getcompany,"/wiki/St._Paul,_Minnesota",20,Industrials,2010,Capital Goods,201050,Industrial Conglomerates,20105010,Industrial Conglomerates,"Diversified industrial companies with business activities in three or more sectors, none of which contributes a majority of revenues. Stakes held are predominantly of a controlling nature and stake holders maintain an operational interest in the running of the subsidiaries."
1,ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,0000001800,1888,https://www.nyse.com/quote/XNYS:ABT,/wiki/Abbott_Laboratories,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ABT&action=getcompany,"/wiki/North_Chicago,_Illinois",35,Health Care,3510,Health Care Equipment & Services,351010,Health Care Equipment & Supplies,35101010,Health Care Equipment,"Manufacturers of health care equipment and devices. Includes medical instruments, drug delivery systems, cardiovascular & orthopedic devices, and diagnostic equipment."
2,ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,"North Chicago, Illinois",2012-12-31,0001551152,2013 (1888),https://www.nyse.com/quote/XNYS:ABBV,/wiki/AbbVie_Inc.,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ABBV&action=getcompany,"/wiki/North_Chicago,_Illinois",35,Health Care,3520,"Pharmaceuticals, Biotechnology & Life Sciences",352020,Pharmaceuticals,35202010,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
3,ABMD,ABIOMED Inc,Health Care,Health Care Equipment,"Danvers, Massachusetts",2018-05-31,0000815094,1981,http://www.nasdaq.com/symbol/abmd,/wiki/Abiomed,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ABMD&action=getcompany,"/wiki/Danvers,_Massachusetts",35,Health Care,3510,Health Care Equipment & Services,351010,Health Care Equipment & Supplies,35101010,Health Care Equipment,"Manufacturers of health care equipment and devices. Includes medical instruments, drug delivery systems, cardiovascular & orthopedic devices, and diagnostic equipment."
4,ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,0001467373,1989,https://www.nyse.com/quote/XNYS:ACN,/wiki/Accenture_plc,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ACN&action=getcompany,"/wiki/Dublin,_Ireland",45,Information Technology,4510,Software & Services,451020,IT Services,45102010,IT Consulting & Other Services,Providers of information technology and systems integration services not classified in the Data Processing & Outsourced Services Sub-Industry. Includes information technology consulting and information management services.
5,ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",2015-08-31,0000718877,2008,http://www.nasdaq.com/symbol/atvi,/wiki/Activision_Blizzard,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ATVI&action=getcompany,"/wiki/Santa_Monica,_California",50,Communication Services,5020,Media & Entertainment,502020,Entertainment,50202020,Interactive Home Entertainment,"Producers of interactive gaming products, including mobile gaming applications. Also includes educational software used primarily in the home. Excludes online gambling companies classified in the Casinos & Gaming Sub-Industry."
6,ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",1997-05-05,0000796343,1982,http://www.nasdaq.com/symbol/adbe,/wiki/Adobe_Inc.,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ADBE&action=getcompany,"/wiki/San_Jose,_California",45,Information Technology,4510,Software & Services,451030,Software,45103010,Application Software,"Companies engaged in developing and producing software designed for specialized applications for the business or consumer market. Includes enterprise and technical software, as well as cloud-based software. Excludes companies classified in the Interactive Home Entertainment Sub-Industry. Also excludes companies producing systems or database management software classified in the Systems Software Sub-Industry."
7,AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,"Santa Clara, California",2017-03-20,0000002488,1969,http://www.nasdaq.com/symbol/amd,/wiki/Advanced_Micro_Devices_Inc,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMD&action=getcompany,"/wiki/Santa_Clara,_California",45,Information Technology,4530,Semiconductors & Semiconductor Equipment,453010,Semiconductors & Semiconductor Equipment,45301020,Semiconductors,"Manufacturers of semiconductors and related products, including manufacturers of solar modules and cells."
8,AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",2015-07-09,0001158449,1932,https://www.nyse.com/quote/XNYS:AAP,/wiki/Advance_Auto_Parts,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AAP&action=getcompany,"/wiki/Raleigh,_North_Carolina",25,Consumer Discretionary,2550,Retailing,255040,Specialty Retail,25504050,Automotive Retail,"Owners and operators of stores specializing in automotive retail. Includes auto dealers, gas stations, and retailers of auto accessories, motorcycles & parts, automotive glass, and automotive equipment & parts."
9,AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,0000874761,1981,https://www.nyse.com/quote/XNYS:AES,/wiki/AES_Corp,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AES&action=getcompany,"/wiki/Arlington,_Virginia",55,Utilities,5510,Utilities,551050,Independent Power and Renewable Electricity Producers,55105010,Independent Power Producers & Energy Traders,"Companies that operate as Independent Power Producers (IPPs), Gas & Power Marketing & Trading Specialists and/or Integrated Energy Merchants. Excludes producers of electricity using renewable sources, such as solar power, hydropower, and wind power. Also excludes electric transmission companies and utility distribution companies classified in the Electric Utilities Sub-Industry."
